link_from_QID	link_from_title	link_to_title
Q78515	카를 폰 합스부르크로트링겐	잘츠부르크
Q78515	카를 폰 합스부르크로트링겐	1999년
Q78515	카를 폰 합스부르크로트링겐	10월 15일
Q78515	카를 폰 합스부르크로트링겐	잘츠부르크
Q78515	카를 폰 합스부르크로트링겐	오토 폰 합스부르크
Q78515	카를 폰 합스부르크로트링겐	합스부르크로트링겐 왕가
Q78515	카를 폰 합스부르크로트링겐	2007년
Q78515	카를 폰 합스부르크로트링겐	1월 1일
Q78515	카를 폰 합스부르크로트링겐	오스트리아의 황제
Q78515	카를 폰 합스부르크로트링겐	헝가리의 군주
Q78515	카를 폰 합스부르크로트링겐	보헤미아의 군주
Q78515	카를 폰 합스부르크로트링겐	크로아티아의 군주
Q78515	카를 폰 합스부르크로트링겐	2007년
Q78515	카를 폰 합스부르크로트링겐	1월 1일
Q78515	카를 폰 합스부르크로트링겐	오토 황태자
Q371652	알빈 에크달	스톡홀름
Q371652	알빈 에크달	미드필더
Q371652	알빈 에크달	UC 삼프도리아
Q371652	알빈 에크달	IF 브롬마포이카르나
Q371652	알빈 에크달	IF 브롬마포이카르나
Q371652	알빈 에크달	유벤투스 FC
Q371652	알빈 에크달	AC 시에나
Q371652	알빈 에크달	볼로냐 FC 1909
Q371652	알빈 에크달	칼리아리 칼초
Q371652	알빈 에크달	함부르크 SV
Q371652	알빈 에크달	UC 삼프도리아
Q371652	알빈 에크달	스웨덴 U-17 축구 국가대표팀
Q371652	알빈 에크달	스웨덴 U-19 축구 국가대표팀
Q371652	알빈 에크달	스웨덴 U-21 축구 국가대표팀
Q371652	알빈 에크달	스웨덴 축구 국가대표팀
Q371652	알빈 에크달	1989년
Q371652	알빈 에크달	7월 28일
Q371652	알빈 에크달	스웨덴
Q371652	알빈 에크달	미드필더
Q371652	알빈 에크달	세리에 A
Q371652	알빈 에크달	UC 삼프도리아
Q371652	알빈 에크달	우크라이나 축구 국가대표팀
Q371652	알빈 에크달	스웨덴 축구 국가대표팀
Q371652	알빈 에크달	2018년 FIFA 월드컵
Q371652	알빈 에크달	스웨덴 축구 국가대표팀
Q2689047	조나타스 데 제수스	베칭
Q2689047	조나타스 데 제수스	공격수
Q2689047	조나타스 데 제수스	엘체 CF
Q2689047	조나타스 데 제수스	크루제이루 EC
Q2689047	조나타스 데 제수스	AZ 알크마르
