QID,page id,item,wiki db,category
Q1317442,5113312,Eric Bledsoe,frwiki,Human
Q450643,10762274,Ernest Vinberg,frwiki,Human
Q5397780,9384171,Eshaq Djahanguiri,frwiki,Human
Q2083681,1591466,Esperanza Aguirre,frwiki,Human
Q56640617,12026692,Eva Colas,frwiki,Human
Q3270870,8399184,Evángelos Marinákis,frwiki,Human
Q296684,2724149,Ezequiel Garay,frwiki,Human
Q96072211,13399785,Fabiana Anastácio,frwiki,Human
Q28967968,11498514,Fabio Depaoli,frwiki,Human
Q5435227,13242618,Fariborz Raisdana,frwiki,Human
Q5946269,13170585,Fatemeh Rahbar,frwiki,Human
Q262203,1392623,Fatih Terim,frwiki,Human
Q777319,6089897,Felipe Nasr,frwiki,Human
Q3069409,5501737,Fernanda Paes Leme,frwiki,Human
Q16889614,7974981,Fernando Gaviria,frwiki,Human
Q24941815,13188968,Fernando Simón,frwiki,Human
Q88553411,13223405,Floyd Cardoz,frwiki,Human
Q17305299,11047751,Frances Tiafoe,frwiki,Human
Q3749916,13262308,Francesco Di Carlo,frwiki,Human
Q87830378,13249594,Francesco Saverio Pavone,frwiki,Human
Q1441576,3728969,Francis Rapp,frwiki,Human
Q42880197,11295247,Francis X. Suarez,frwiki,Human
Q3081861,4100741,Francisco Hernando,frwiki,Human
Q64463,1738104,Franck Riester,frwiki,Human
Q55020621,13234319,François de Gaulle,frwiki,Human
Q3087003,4924345,Freddie Freeman,frwiki,Human
Q44738451,11257425,Frédéric Favre,frwiki,Human
Q89582569,13236634,Frida Wattenberg,frwiki,Human
Q566257,11163288,Friedrich Merz,frwiki,Human
Q318991,430380,Gad Elmaleh,frwiki,Human
Q16638763,7021887,Gaël Faye,frwiki,Human
Q2130136,8702345,Gare de Hong Kong-West Kowloon,frwiki,Others
Q968498,6129465,Gary Holt (musicien),frwiki,Human
Q845156,1583026,George Alagiah,frwiki,Human
Q95677819,13377736,George Floyd,frwiki,Human
Q1655924,4103743,George Stephanopoulos,frwiki,Human
Q3124154,1378790,Gérard Mannoni,frwiki,Human
Q1559010,13262712,Gérard Mulumba Kalemba,frwiki,Human
Q690395,6759378,Germà Colón,frwiki,Human
Q3761173,10368905,Germán Pezzella,frwiki,Human
Q1093350,2808273,Germano Celant,frwiki,Human
Q97129077,13474488,Ghaida Kambash,frwiki,Human
Q3104996,590622,Ghyslain Tremblay,frwiki,Human
Q19361829,13186118,Giovanni Battista Rabino,frwiki,Human
Q42571276,13223427,Gita Ramjee,frwiki,Human
Q468812,7505181,Giuliana De Sio,frwiki,Human
Q204279,148439,Goran Ivanišević,frwiki,Human
Q558820,5945637,Gōtoku Sakai,frwiki,Human
Q1545256,13226736,Goyo Benito,frwiki,Human
Q359010,3567364,Greg Rikaart,frwiki,Human
Q16234113,8042967,Gregory Polanco,frwiki,Human
Q337681,3115193,Grigor Dimitrov,frwiki,Human
Q495202,12508142,Guerre entre le Pérou et la Bolivie,frwiki,Others
Q30343165,10917202,Guillaume Vuilletet,frwiki,Human
Q3121642,5020449,Guy Chaty,frwiki,Human
Q3090,10609,Guy Teissier,frwiki,Human
Q63766490,13162188,Guylène Pantel,frwiki,Human
Q6555796,13188759,Hachem Bathaie Golpayegani,frwiki,Human
Q30081749,13174379,Hadi Khosroshahi,frwiki,Human
Q447509,10430517,Hal Willner,frwiki,Human
Q3126401,2034651,Hamed Bakayoko,frwiki,Human
Q21405631,13242610,Hamid Kahram,frwiki,Human
Q1585971,2939960,Haroldo Rodas,frwiki,Human
Q222851,6161295,Harrison Barnes,frwiki,Human
Q531599,1135906,Harvey Weinstein,frwiki,Human
Q2784436,13474466,Hassan al-Lawzi,frwiki,Human
Q5618246,13273052,Heherson Alvarez,frwiki,Human
Q5703827,8638075,Helène Aylon,frwiki,Human
Q3144732,2982835,Hélène Châtelain,frwiki,Human
Q2896225,1822625,Hélène Darroze,frwiki,Human
Q89588532,13245626,Henri Ecochard,frwiki,Human
Q17486036,8151909,Henri Kichka,frwiki,Human
Q3131533,593144,Henri Madelin,frwiki,Human
Q3131915,3718598,Henri Richelet,frwiki,Human
Q3132075,675349,Henri Tincq,frwiki,Human
Q1340521,239595,Henri Weber,frwiki,Human
Q17305968,13262830,Henry Graff,frwiki,Human
Q719759,548421,Henry Grimes (musicien),frwiki,Human
Q491019,5728794,Herman Cain,frwiki,Human
Q84737258,13239594,Hong Ling,frwiki,Human
Q83554783,13103560,Hôpital Huoshenshan,frwiki,Others
Q83766264,13104839,Hôpital Leishenshan,frwiki,Others
Q16885630,13212317,Hossein Sheikholeslam,frwiki,Human
Q116650,1428682,Hugo Gatti,frwiki,Human
Q89153681,13245884,Hycovid,frwiki,Others
Q3180917,8409974,Ibrahim Amini,frwiki,Human
Q1545644,3902472,Ibrahima N'Diaye (homme politique malien),frwiki,Human
Q5479644,10601845,Idoia Mendia,frwiki,Human
Q342604,3314341,Idris Elba,frwiki,Human
Q3148268,6381861,Igor Boev,frwiki,Human
Q173923,820890,Ilija Petković,frwiki,Human
Q90085156,13343726,Impact environnemental de la pandémie de Covid-19,frwiki,Others
Q463585,5109892,Indira Varma,frwiki,Human
Q86359645,13194681,Iraj Harirchi,frwiki,Human
Q21706297,10463398,Irene Montero,frwiki,Human
Q17322473,13288472,Iris Love,frwiki,Human
Q50634772,12306850,Isabel Díaz Ayuso,frwiki,Human
