QID,page_id,item,wiki_db,category
Q318410,1099449,卡梅伦·范德伯格,zhwiki,Human
Q318991,614984,蓋得·艾馬勒,zhwiki,Human
Q321770,2956594,亞倫·特維特,zhwiki,Human
Q3265723,6979536,吕西安·塞夫,zhwiki,Human
Q3290692,6986022,玛格丽特·德里达,zhwiki,Human
Q334126,6939640,路易斯·塞普尔维达,zhwiki,Human
Q336363,6949399,阿里·拉里贾尼,zhwiki,Human
Q3374,218801,安娜-苏菲·穆特,zhwiki,Human
Q337681,3144773,格里戈爾·季米特洛夫,zhwiki,Human
Q3390432,7090291,贝尼托·霍安内,zhwiki,Human
Q342604,1831701,伊德瑞斯·艾尔巴,zhwiki,Human
Q3446792,5622834,鲁迪·戈贝尔,zhwiki,Human
Q344983,422264,娃娃臉_(藝人),zhwiki,Human
Q34660,40039,J·K·罗琳,zhwiki,Human
Q3470332,5274130,薩爾瓦多·培瑞茲,zhwiki,Human
Q3479546,5590671,塞爾日·特勒,zhwiki,Human
Q349311,6942472,穆斯塔法·普尔-穆罕默迪,zhwiki,Human
Q35191,934401,威尼斯嘉年華會,zhwiki,Others
Q352696,732622,迈克尔·比斯利,zhwiki,Human
Q355009,5259240,傑克遜·布朗,zhwiki,Human
Q359010,5314398,格雷格·里卡特,zhwiki,Human
Q36338926,6954789,阿里·阿斯加尔·穆尼桑,zhwiki,Human
Q371652,4795164,阿爾賓·埃克達爾,zhwiki,Human
Q3753357,7007100,卡洛斯·塞科·塞拉诺,zhwiki,Human
Q3758095,3371328,刚坚·洛桑土旦·赤列雅培,zhwiki,Human
Q3788185,6096722,蘇菲·格雷戈瓦·杜魯多,zhwiki,Human
Q3798974,7090283,因诺琴佐·多尼纳,zhwiki,Human
Q3804395,6957273,伊塔洛·德赞,zhwiki,Human
Q380445,6108092,沙希德·阿弗里迪,zhwiki,Human
Q3810475,6987880,何塞·路易斯·卡蓬,zhwiki,Human
Q382700,6947864,布雷特·迪恩,zhwiki,Human
Q3838576,7090278,卢恰诺·费代里奇,zhwiki,Human
Q38668457,6959670,黄灵彪,zhwiki,Human
Q3903362,7090122,皮耶罗·施莱辛格,zhwiki,Human
Q3910,521071,阿尔贝二世_(摩纳哥),zhwiki,Human
Q392329,4355616,藤浪晋太郎,zhwiki,Human
Q422252,938875,地塞米松,zhwiki,Others
Q42396622,6551245,卡勒姆·哈德森-奧多伊,zhwiki,Human
Q42402,677383,安德烈·波伽利,zhwiki,Human
Q4298520,6875626,米哈伊尔·米舒斯京,zhwiki,Human
Q430746,7015710,諾曼·亨特,zhwiki,Human
Q43274,75543,威爾斯親王查爾斯,zhwiki,Human
Q433215,6734283,安娜·帕斯托尔·胡利安,zhwiki,Human
Q438465,6437460,米歇爾·巴尼耶,zhwiki,Human
Q439354,6956437,阿里·阿克巴尔·韦拉亚提,zhwiki,Human
Q445829,6980227,马努·迪班戈,zhwiki,Human
Q4468223,1192093,武磊,zhwiki,Human
Q451302,6992531,努尔·哈桑·侯赛因,zhwiki,Human
Q463557,4698817,兰德·保罗,zhwiki,Human
Q463585,6594532,英迪拉·瓦爾瑪,zhwiki,Human
Q466012,6142831,巴托斯·貝雷辛內斯基,zhwiki,Human
Q4667894,7093463,阿比奥拉·阿吉莫比,zhwiki,Human
Q47059,4032849,艾西瓦娅·雷,zhwiki,Human
Q4717362,4806310,亚历克斯·莱恩_(篮球运动员),zhwiki,Human
Q4720226,6998790,第七代巴斯侯爵亞歷山大·錫恩,zhwiki,Human
Q4738985,7012463,阿玛比埃,zhwiki,Others
Q47668952,5908323,段正澄,zhwiki,Human
Q478161,4802165,马修·汉考克,zhwiki,Human
Q483027,107451,保罗·马尔蒂尼,zhwiki,Human
Q4832169,6988409,阿扎姆·汗_(壁球運動員),zhwiki,Human
Q4886138,6472175,本·麥克亞當斯,zhwiki,Human
Q48872746,6986387,宗像直美,zhwiki,Human
Q491019,1826942,赫尔曼·凯恩,zhwiki,Human
Q50634772,6973683,伊莎贝尔·迪亚斯·阿尤索,zhwiki,Human
Q5112179,6992579,克里斯·科莫,zhwiki,Human
Q51846167,6953122,蒂莫·许贝尔,zhwiki,Human
Q520296,7002074,约翰·普莱恩,zhwiki,Human
Q5297824,1508551,多利_(足球运动员),zhwiki,Human
Q5297905,5607605,朵莉絲·柏克,zhwiki,Human
Q531599,3375552,哈維·溫斯坦,zhwiki,Human
Q536199,6983453,安杰洛·莫雷斯基,zhwiki,Human
Q5397780,6943216,埃沙格·贾汉吉里,zhwiki,Human
Q5435227,6972401,法里博尔兹·赖斯达那,zhwiki,Human
Q556314,4352305,斐理伯·歐德拉戈,zhwiki,Human
Q55847698,6968735,俞利文,zhwiki,Human
Q558820,1800758,酒井高德,zhwiki,Human
Q55998474,6986256,玛丽亚·特蕾莎·德·波旁-帕尔马,zhwiki,Human
Q56276347,7054257,YNW_Melly,zhwiki,Human
Q566257,6344633,弗雷德里希·梅尔茨,zhwiki,Human
Q5686109,6581223,伊藤隼太,zhwiki,Human
Q573246,1203809,安东尼·弗契,zhwiki,Human
Q57343,422727,皮埃尔·恩库伦齐扎,zhwiki,Human
Q5753193,7077607,卡罗琳娜·达里亚斯,zhwiki,Human
Q57567,4789939,喬爾·馬蒂普,zhwiki,Human
Q579231,4746483,伊利亞金·文加拉,zhwiki,Human
Q5812,519056,諾瓦克·喬科維奇,zhwiki,Human
Q5835086,6961678,米诺·莫拉兹,zhwiki,Human
Q5934127,6998646,雷扎·拉哈马尼,zhwiki,Human
Q5939731,6979401,何塞·福尔加多,zhwiki,Human
Q5946269,6946560,法蒂玛·拉赫巴尔,zhwiki,Human
Q5951723,3906209,胡安·奥兰多·埃尔南德斯,zhwiki,Human
Q5959000,6940279,马哈茂德·萨德吉,zhwiki,Human
Q60478,3360505,德安德鲁·乔丹,zhwiki,Human
Q6089269,6974945,艾塔奇·亚尔曼,zhwiki,Human
Q6110020,4805531,賈巴里·帕克,zhwiki,Human
Q61161331,7089860,史蒂夫·舒瓦茨_(病理学家),zhwiki,Human
Q6137546,6990216,詹姆斯·劳伦斯·多兰,zhwiki,Human
Q6140367,7044219,岡本行夫,zhwiki,Human
Q6140775,5370449,詹姆斯·高曼,zhwiki,Human
Q6363189,6975953,卡妮卡·卡普爾,zhwiki,Human
Q6438398,6596551,克里斯多佛·希夫哲,zhwiki,Human
Q64463,6952196,弗蘭克·里斯特,zhwiki,Human
Q64732854,7000596,凱莉·西蒙茲,zhwiki,Human
Q64784373,6878361,小宮璃央,zhwiki,Human
Q6504550,6981253,劳伦斯·巴科,zhwiki,Human
Q6555796,6961760,哈希姆·巴特哈伊·戈勒派耶甘尼,zhwiki,Human
Q67480081,6959113,韓天芑,zhwiki,Human
Q6756606,7090037,马塞洛·佩拉尔塔,zhwiki,Human
Q6757719,4783913,馬爾科·斯波爾蒂耶洛,zhwiki,Human
Q6758454,4736938,馬庫斯·史馬特,zhwiki,Human
Q679049,6963867,維多利歐·葛雷高第,zhwiki,Human
Q691911,3243445,米切爾·朗格拉克,zhwiki,Human
Q6925992,6995101,穆萨·舒拜里·赞贾尼,zhwiki,Human
Q700558,1621450,彼德·美臣,zhwiki,Human
Q7173778,5175854,彼德·達頓,zhwiki,Human
Q738196,6929394,玛苏梅·埃卜特卡尔,zhwiki,Human
Q740411,1500600,若阿基姆·雍比-奥庞戈,zhwiki,Human
Q753852,39423,西奧多·羅斯福號航空母艦,zhwiki,Others
Q7614463,5193921,史蒂芬·艾弗里,zhwiki,Human
Q767270,5188578,馬里奧·迪亞斯-巴拉特,zhwiki,Human
Q777319,4339456,費利佩·納斯爾,zhwiki,Human
Q7818846,4663403,杜米·祖歷,zhwiki,Human
Q78515,2818226,卡爾·馮·哈布斯堡,zhwiki,Human
Q7945702,6982209,W·伊恩·利普金,zhwiki,Human
Q795924,1219514,世界行動通訊大會,zhwiki,Others
Q8059945,673816,於梨华,zhwiki,Human
Q81068910,6959231,2019冠状病毒病疫情,zhwiki,Bio-Med
Q82069695,6880138,严重急性呼吸系统综合征冠状病毒2,zhwiki,Others
Q82504773,7104863,穆罕默德·亚辛·穆罕默德,zhwiki,Human
Q83264280,6878143,武汉华南海鲜批发市场,zhwiki,Others
Q83493517,6908253,2019冠狀病毒病疫情時間軸,zhwiki,Others
Q83554667,6903120,2019冠狀病毒病中國大陸疫區封鎖措施,zhwiki,Others
Q83554783,6885980,火神山医院,zhwiki,Others
Q83741704,6884910,2019冠狀病毒病全球各地疫情,zhwiki,Others
Q83748229,6887834,中央应对新型冠状病毒肺炎疫情工作领导小组,zhwiki,Others
Q83766264,6886524,雷神山医院,zhwiki,Others
Q83872271,6966081,2019冠状病毒病中国大陆疫情,zhwiki,Region
Q83872291,6901184,2019冠狀病毒病日本疫情,zhwiki,Region
Q83872398,6916159,2019冠狀病毒病韓國疫情,zhwiki,Region
Q83873057,6926532,2019冠状病毒病越南疫情,zhwiki,Region
Q83873387,6903317,2019冠狀病毒病新加坡疫情,zhwiki,Region
Q83873548,6937753,2019冠状病毒病澳大利亚疫情,zhwiki,Region
Q83873556,6902637,2019冠狀病毒病馬來西亞疫情,zhwiki,Region
Q83873566,6903932,2019冠狀病毒病泰國疫情,zhwiki,Region
Q83873577,6903193,2019冠狀病毒病美國疫情,zhwiki,Region
Q83873580,6939542,2019冠状病毒病加拿大疫情,zhwiki,Region
Q83873593,6941765,2019冠狀病毒病法國疫情,zhwiki,Region
