QID,page id,item,wiki db,category
Q3087003,6948147,Freddie Freeman,eswiki,Human
Q89582569,9366487,Frida Wattenberg,eswiki,Human
Q566257,433354,Friedrich Merz,eswiki,Human
Q2252474,9375460,Frits Flinkevleugel,eswiki,Human
Q318991,3110444,Gad Elmaleh,eswiki,Human
Q3758095,9390553,Gangchen Tulku Rinpoche,eswiki,Human
Q968498,5881802,Gary Holt,eswiki,Human
Q5531445,9379886,Gene Shay,eswiki,Human
Q95677819,9447355,George Floyd,eswiki,Human
Q1655924,1442255,George Stephanopoulos,eswiki,Human
Q3124154,9375438,Gérard Mannoni,eswiki,Human
Q1559010,9376257,Gérard Mulumba Kalemba,eswiki,Human
Q690395,1545416,Germà Colón,eswiki,Human
Q3761173,3642928,Germán Pezzella,eswiki,Human
Q1093350,7857800,Germano Celant,eswiki,Human
Q3104996,9364611,Ghyslain Tremblay,eswiki,Human
Q5560829,9450907,Gilbert Burns,eswiki,Human
Q5561073,9427907,Gilbert Luis R. Centina III,eswiki,Human
Q5562310,9398133,Gillian Wise,eswiki,Human
Q19361829,9333931,Giovanni Battista Rabino,eswiki,Human
Q89520802,9359854,Giovanni Coppiano,eswiki,Human
Q42571276,9354913,Gita Ramjee,eswiki,Human
Q468812,519647,Giuliana De Sio,eswiki,Human
Q1528752,9379635,Giuseppi Logan,eswiki,Human
Q90849569,9377004,Glider Ushñahua Huasanga,eswiki,Human
Q204279,346263,Goran Ivanišević,eswiki,Human
Q558820,5002545,Gōtoku Sakai,eswiki,Human
Q1545256,2651189,Goyo Benito,eswiki,Human
Q8964811,5683014,Gracia Barrios,eswiki,Human
Q359010,6861035,Greg Rikaart,eswiki,Human
Q704510,2493004,Gregory Aymond,eswiki,Human
Q16234113,8809647,Gregory Polanco,eswiki,Human
Q337681,2160230,Grigor Dimitrov,eswiki,Human
Q495202,1342005,Guerra entre Perú y Bolivia,eswiki,Others
Q92059713,9397537,Gunnar Seijbold,eswiki,Human
Q90347409,9370845,Gustavo Orellana,eswiki,Human
Q30081749,9333938,Hadi Khosroshahi,eswiki,Human
Q447509,9363073,Hal Willner,eswiki,Human
Q21405631,9336924,Hamid Kahram,eswiki,Human
Q13512620,5882282,Hamish Wilson,eswiki,Human
Q2784407,9376296,Hans Prade,eswiki,Human
Q1585971,6274712,Haroldo Rodas,eswiki,Human
Q222851,5482758,Harrison Barnes,eswiki,Human
Q2655701,9347026,Harry Aarts,eswiki,Human
Q531599,5858720,Harvey Weinstein,eswiki,Human
Q6555796,9331540,Hashem Bathaie Golpayenagi,eswiki,Human
Q5906280,756520,Héctor Martínez Serrano,eswiki,Human
Q5618246,9382145,Heherson Álvarez,eswiki,Human
Q19665021,9379999,Helen Damico,eswiki,Human
Q5703827,9372937,Helène Aylon,eswiki,Human
Q3144732,9381875,Hélène Châtelain,eswiki,Human
Q5253272,9390463,Henk Overgoor,eswiki,Human
Q89588532,9378367,Henri Ecochard,eswiki,Human
Q17486036,9397583,Henri Kichka,eswiki,Human
Q3131533,9364616,Henri Madelin,eswiki,Human
Q3131915,2793440,Henri Richelet,eswiki,Human
Q3132075,9358984,Henri Tincq,eswiki,Human
Q1340521,9397648,Henri Weber,eswiki,Human
Q202807,9522647,Henrique Soares da Costa,eswiki,Human
Q17305968,9378789,Henry Graff,eswiki,Human
Q719759,9379680,Henry Grimes,eswiki,Human
Q92518002,9397670,Henry Miller (abogado),eswiki,Human
Q491019,5017190,Herman Cain,eswiki,Human
Q94997852,9435133,Hernán Alemán,eswiki,Human
Q5760952,9368710,Hilary Dwyer,eswiki,Human
Q90121082,9369734,Ho Kam Ming,eswiki,Human
Q84737258,9339485,Hong Ling,eswiki,Human
Q83554783,9493386,Hospital Huoshenshan,eswiki,Others
Q16885630,9333969,Hossein Sheikholeslam,eswiki,Human
Q116650,272745,Hugo Orlando Gatti,eswiki,Human
Q5479644,3073190,Idoia Mendia,eswiki,Human
Q342604,2594687,Idris Elba,eswiki,Human
Q3148268,5709218,Ígor Bóyev,eswiki,Human
Q173923,7720252,Ilija Petković,eswiki,Human
Q90085156,9378894,Impacto medioambiental de la pandemia de enfermedad por coronavirus de 2019-2020,eswiki,Others
Q85872065,9326898,Impacto socioeconómico de la pandemia de enfermedad por coronavirus de 2019-2020,eswiki,Others
Q463585,6243136,Indira Varma,eswiki,Human
Q3798974,9341969,Innocenzo Donina,eswiki,Human
Q21706297,7216327,Irene Montero,eswiki,Human
Q17322473,9395584,Iris Love,eswiki,Human
Q6070306,5944953,Iris M. Zavala,eswiki,Human
Q85770058,9361216,Isaac Robinson,eswiki,Human
Q50634772,8499394,Isabel Díaz Ayuso,eswiki,Human
Q3804395,9333997,Italo De Zan,eswiki,Human
Q89465759,9359669,Ito Curata,eswiki,Human
Q35633,7988072,Itziar Ituño,eswiki,Human
Q3544051,2498964,Iza Calzado,eswiki,Human
Q34660,37051,J. K. Rowling,eswiki,Human
Q6110020,6218874,Jabari Parker,eswiki,Human
Q92197171,9396683,Jack Lotz,eswiki,Human
Q355009,5949775,Jackson Browne,eswiki,Human
Q88928087,9390533,Jacob Plange-Rhule,eswiki,Human
Q89284961,9359520,Jacques F. Acar,eswiki,Human
Q3158941,9382136,Jacques Frémontier,eswiki,Human
Q3159292,9361141,Jacques Le Brun,eswiki,Human
Q3159696,9342010,Jacques Oudin,eswiki,Human
Q3159726,9384494,Jacques Pellen,eswiki,Human
Q3159913,9384460,Jacques Rosny,eswiki,Human
Q90463320,9374927,Jaime Ruiz Sacristán,eswiki,Human
Q10304982,7554114,Jair Bolsonaro,eswiki,Human
Q13605936,6359951,James Ennis,eswiki,Human
Q1680463,9357216,James Stuart Gordon,eswiki,Human
Q89058562,9357023,James T. Goodrich,eswiki,Human
Q12022755,9366477,Jan Křen,eswiki,Human
Q15820808,8117428,Jannik Kohlbacher,eswiki,Human
Q2317740,312532,Jason Collins,eswiki,Human
Q50824635,8747286,Javier Ortega Smith,eswiki,Human
Q154855,49863,Javier Solana,eswiki,Human
Q88206609,9340612,Jean Leber,eswiki,Human
Q88326495,9341948,Jean-Jacques Razafindranazy,eswiki,Human
Q999960,9362354,Jean-Laurent Cochet,eswiki,Human
Q16581287,6271213,Jeanine Áñez,eswiki,Human
Q88592566,9350351,Jenny Polanco,eswiki,Human
Q281708,4152262,Jens Keukeleire,eswiki,Human
Q91159963,9381605,Jerry Givens,eswiki,Human
Q88866458,9347373,Jesús Gayoso Rey,eswiki,Human
Q91027609,9380797,Jesús Vaquero,eswiki,Human
Q217238,4130514,Jimmie Johnson,eswiki,Human
Q15987709,8501607,Jimmie Rivera,eswiki,Human
Q740411,8807636,Joachim Yhombi-Opango,eswiki,Human
Q21787611,7993733,Joan Baptista Olòriz Serra,eswiki,Human
Q1691384,9350908,Joe Diffie,eswiki,Human
Q3180252,9375415,Joel M. Reed,eswiki,Human
Q57567,4585151,Joel Matip,eswiki,Human
Q91665169,9387803,Joel Rogosin,eswiki,Human
Q88719792,9358935,John F. Murray,eswiki,Human
Q268961,27020,John Horton Conway,eswiki,Human
Q1701415,6844228,John Pfahl,eswiki,Human
Q520296,731719,John Prine,eswiki,Human
Q10554334,9397616,John Rowlands,eswiki,Human
Q1193243,9378260,John T. Houghton,eswiki,Human
Q540283,1326385,John Taylor (bajista),eswiki,Human
Q52453146,8470269,Jolette,eswiki,Human
Q2689047,6383946,Jonathas de Jesus,eswiki,Human
Q427056,5303484,Jordi Basté,eswiki,Human
Q88627924,9344408,Jorge Alcibíades García Lara,eswiki,Human
Q89562034,9360476,Jorge Chica,eswiki,Human
Q97579656,9524532,Jorge Villavicencio,eswiki,Human
Q89193385,9367506,José Antonio Martínez Bayó,eswiki,Human
Q5939731,5005090,José Folgado,eswiki,Human
Q3810475,4167063,José Luis Capón,eswiki,Human
Q15396247,6339985,José Luis Gayà,eswiki,Human
Q89278617,9355139,José Luis González Novalín,eswiki,Human
Q5942704,4111379,José María Calleja,eswiki,Human
